Characteristic,Development 2016–2021,Intermediate validation 2022–2023,Final temporal test 2024
N,"499,360","179,310","94,071"
"Successful VBAC, n (%)","378,150 (75.73%)","135,219 (75.41%)","71,038 (75.52%)"
"Maternal age, years, mean (SD)",30.8 (5.1),31.2 (5.1),31.3 (5.1)
"Maternal height, cm, mean (SD)",162.1 (7.3),161.9 (7.3),161.8 (7.4)
"Prepregnancy weight, kg, mean (SD)",72.2 (18.1),73.5 (18.3),73.7 (18.2)
"Prepregnancy BMI, kg/m², mean (SD)",27.4 (6.5),28.0 (6.6),28.1 (6.6)
"Prior live births, median [IQR]","1 [1, 2]","1 [1, 2]","1 [1, 2]"
"Previous preterm birth, n (%)","42,536 (8.5%)","16,996 (9.5%)","8,979 (9.5%)"
"Prepregnancy diabetes, n (%)","4,470 (0.9%)","2,027 (1.1%)","1,184 (1.3%)"
"Prepregnancy hypertension, n (%)","9,377 (1.9%)","4,620 (2.6%)","2,726 (2.9%)"
"Gestational diabetes, n (%)","36,315 (7.3%)","14,791 (8.2%)","7,918 (8.4%)"
"Gestational hypertension, n (%)","25,878 (5.2%)","12,937 (7.2%)","7,300 (7.8%)"
