Domain,Subgroup,N,VBAC events,Failed TOLAC,"Observed VBAC, %","Mean predicted, %",O/E (95% CI),Calibration intercept (95% CI),Calibration slope (95% CI),AUC (95% CI)
Race/ethnicity,Hispanic,26610,20275,6335,76.2,72.9,1.045 (1.030–1.059),0.184 (0.155–0.213),1.073 (1.021–1.126),0.691 (0.684–0.698)
Race/ethnicity,Non-Hispanic AI/AN,549,422,127,76.9,77.6,0.991 (0.899–1.090),-0.045 (-0.256–0.165),0.700 (0.449–0.952),0.688 (0.632–0.743)
Race/ethnicity,Non-Hispanic Asian,6060,4333,1727,71.5,70.9,1.008 (0.978–1.039),0.030 (-0.028–0.087),1.347 (1.217–1.478),0.688 (0.674–0.702)
Race/ethnicity,Non-Hispanic Black,14560,9940,4620,68.3,75.0,0.910 (0.892–0.928),-0.373 (-0.411–-0.336),0.791 (0.743–0.840),0.696 (0.687–0.705)
Race/ethnicity,Non-Hispanic multiracial,2237,1669,568,74.6,75.5,0.989 (0.942–1.037),-0.050 (-0.149–0.050),1.065 (0.903–1.226),0.711 (0.687–0.735)
Race/ethnicity,Non-Hispanic NH/PI,505,379,126,75.0,76.5,0.981 (0.885–1.085),-0.090 (-0.304–0.124),0.975 (0.684–1.266),0.736 (0.687–0.785)
Race/ethnicity,Non-Hispanic White,42547,33233,9314,78.1,76.0,1.027 (1.016–1.038),0.127 (0.103–0.151),1.147 (1.107–1.188),0.726 (0.720–0.732)
Maternal age,<25,9532,7118,2414,74.7,73.8,1.012 (0.989–1.036),0.049 (0.001–0.096),1.023 (0.924–1.122),0.647 (0.635–0.659)
Maternal age,25-29,24869,18830,6039,75.7,74.2,1.020 (1.006–1.035),0.086 (0.056–0.116),1.159 (1.103–1.214),0.697 (0.689–0.704)
Maternal age,30-34,33856,25700,8156,75.9,74.6,1.018 (1.005–1.030),0.076 (0.050–0.102),1.114 (1.070–1.157),0.715 (0.708–0.721)
Maternal age,35-39,20945,15802,5143,75.4,75.1,1.005 (0.989–1.021),0.023 (-0.011–0.056),0.965 (0.917–1.013),0.724 (0.716–0.731)
Maternal age,40+,4869,3588,1281,73.7,77.6,0.950 (0.919–0.981),-0.248 (-0.317–-0.178),0.677 (0.606–0.747),0.731 (0.715–0.747)
Prepregnancy BMI,Normal (18.5–24.9),31787,25480,6307,80.2,79.0,1.015 (1.002–1.027),0.075 (0.047–0.103),1.216 (1.157–1.275),0.703 (0.697–0.710)
Prepregnancy BMI,Obesity class I (30.0–34.9),17047,12364,4683,72.5,71.7,1.011 (0.994–1.029),0.044 (0.009–0.079),0.943 (0.882–1.004),0.693 (0.684–0.701)
Prepregnancy BMI,Obesity class II (35.0–39.9),8052,5465,2587,67.9,67.9,1.000 (0.973–1.026),-0.002 (-0.050–0.047),0.964 (0.882–1.046),0.696 (0.684–0.708)
Prepregnancy BMI,Obesity class III (≥40),5170,3218,1952,62.2,60.0,1.037 (1.002–1.074),0.106 (0.046–0.166),0.903 (0.816–0.991),0.705 (0.691–0.720)
Prepregnancy BMI,Overweight (25.0–29.9),27786,21212,6574,76.3,75.5,1.011 (0.998–1.025),0.050 (0.021–0.078),1.084 (1.029–1.138),0.697 (0.690–0.704)
Prepregnancy BMI,Underweight <18.5,1625,1325,300,81.5,83.4,0.977 (0.925–1.031),-0.137 (-0.266–-0.009),0.910 (0.678–1.143),0.655 (0.622–0.687)
Chronic hypertension,No,91345,69280,22065,75.8,75.0,1.011 (1.003–1.018),0.048 (0.032–0.064),1.045 (1.018–1.072),0.706 (0.702–0.709)
Chronic hypertension,Yes,2726,1758,968,64.5,62.8,1.027 (0.979–1.076),0.083 (-0.000–0.167),0.847 (0.736–0.958),0.713 (0.693–0.733)
Prepregnancy diabetes,No,92887,70313,22574,75.7,74.9,1.011 (1.004–1.018),0.048 (0.032–0.063),1.038 (1.012–1.064),0.706 (0.702–0.710)
Prepregnancy diabetes,Yes,1184,725,459,61.2,58.7,1.044 (0.969–1.122),0.122 (-0.003–0.247),0.883 (0.710–1.057),0.711 (0.681–0.741)
Maternal education,8th grade or less,4933,3980,953,80.7,78.5,1.028 (0.996–1.060),0.148 (0.074–0.222),0.589 (0.502–0.677),0.675 (0.656–0.695)
Maternal education,9th 12th no diploma,7252,5581,1671,77.0,77.7,0.991 (0.965–1.017),-0.045 (-0.102–0.013),0.636 (0.564–0.708),0.674 (0.659–0.689)
Maternal education,Associate degree,7605,5688,1917,74.8,73.9,1.012 (0.986–1.039),0.052 (-0.002–0.106),1.046 (0.958–1.135),0.705 (0.692–0.718)
Maternal education,Bachelors degree,21336,16124,5212,75.6,73.4,1.029 (1.013–1.045),0.121 (0.089–0.153),1.241 (1.178–1.303),0.707 (0.699–0.714)
Maternal education,Doctorate or professional,2970,2198,772,74.0,72.6,1.019 (0.977–1.062),0.074 (-0.011–0.158),1.333 (1.152–1.514),0.700 (0.679–0.720)
Maternal education,High school or GED,22766,17151,5615,75.3,75.6,0.996 (0.981–1.011),-0.018 (-0.049–0.014),1.008 (0.959–1.057),0.709 (0.702–0.717)
Maternal education,Masters degree,10108,7512,2596,74.3,72.6,1.024 (1.001–1.048),0.096 (0.050–0.142),1.447 (1.349–1.545),0.721 (0.710–0.732)
Maternal education,Some college no degree,15234,11343,3891,74.5,74.4,1.000 (0.982–1.019),0.002 (-0.036–0.040),1.095 (1.033–1.156),0.722 (0.713–0.731)
