"variable","model","prediction_timepoint","estimable_in_primary_development_cohort","exclusion_reason_if_not_estimable"
"maternal_age","information_restricted_comparator","late_third_trimester_prenatal_counselling_before_labour",TRUE,""
"prepregnancy_weight_kg","information_restricted_comparator","late_third_trimester_prenatal_counselling_before_labour",TRUE,""
"maternal_height_cm","information_restricted_comparator","late_third_trimester_prenatal_counselling_before_labour",TRUE,""
"prepregnancy_hypertension_binary","information_restricted_comparator","late_third_trimester_prenatal_counselling_before_labour",TRUE,""
"maternal_age","race_neutral_counselling_model","late_third_trimester_prenatal_counselling_before_labour",TRUE,""
"maternal_height_cm","race_neutral_counselling_model","late_third_trimester_prenatal_counselling_before_labour",TRUE,""
"prepregnancy_weight_kg","race_neutral_counselling_model","late_third_trimester_prenatal_counselling_before_labour",TRUE,""
"prepregnancy_bmi","race_neutral_counselling_model","late_third_trimester_prenatal_counselling_before_labour",TRUE,""
"total_prior_live_births","race_neutral_counselling_model","late_third_trimester_prenatal_counselling_before_labour",TRUE,""
"n_previous_cesareans","race_neutral_counselling_model","late_third_trimester_prenatal_counselling_before_labour",FALSE,"zero variance in 2016-2021 primary cohort (e.g., exactly one previous cesarean by eligibility)"
"previous_preterm_birth_binary","race_neutral_counselling_model","late_third_trimester_prenatal_counselling_before_labour",TRUE,""
"prepregnancy_diabetes_binary","race_neutral_counselling_model","late_third_trimester_prenatal_counselling_before_labour",TRUE,""
"prepregnancy_hypertension_binary","race_neutral_counselling_model","late_third_trimester_prenatal_counselling_before_labour",TRUE,""
"gestational_diabetes_binary","race_neutral_counselling_model","late_third_trimester_prenatal_counselling_before_labour",TRUE,""
"gestational_hypertension_binary","race_neutral_counselling_model","late_third_trimester_prenatal_counselling_before_labour",TRUE,""
