"period","model","threshold","false_positive_weight","outcome_prevalence","action","true_positive_definition","false_positive_definition","TP","FP","FN","TN","net_benefit","net_benefit_all","net_benefit_none","standardized_net_benefit","race_ethnicity_group"
"2024_posthoc_comparative_evaluation","race_neutral_counselling_logistic",0.2,0.25,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",20275,6332,0,3,0.702442690717775,0.702414505824878,0,0.921923551171393,"Hispanic"
"2024_posthoc_comparative_evaluation","race_neutral_counselling_logistic",0.21,0.265822784810127,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",20274,6332,1,3,0.698639989725001,0.698647600835319,0,0.91693268195227,"Hispanic"
"2024_posthoc_comparative_evaluation","race_neutral_counselling_logistic",0.22,0.282051282051282,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",20274,6332,1,3,0.694778327021844,0.694784108538336,0,0.911864428214613,"Hispanic"
"2024_posthoc_comparative_evaluation","race_neutral_counselling_logistic",0.23,0.298701298701299,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",20274,6331,1,4,0.690827586543483,0.690820265792081,0,0.906679264015885,"Hispanic"
"2024_posthoc_comparative_evaluation","race_neutral_counselling_logistic",0.24,0.315789473684211,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",20273,6330,2,5,0.686736288296841,0.686752111394608,0,0.901309624245571,"Hispanic"
"2024_posthoc_comparative_evaluation","race_neutral_counselling_logistic",0.25,0.333333333333333,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",20272,6326,3,9,0.68257547287987,0.68257547287987,0,0.895848746403617,"Hispanic"
"2024_posthoc_comparative_evaluation","race_neutral_counselling_logistic",0.26,0.351351351351351,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",20271,6321,4,14,0.678320485084859,0.678285952243111,0,0.890264271669944,"Hispanic"
"2024_posthoc_comparative_evaluation","race_neutral_counselling_logistic",0.27,0.36986301369863,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",20271,6320,4,15,0.673937082052787,0.673878910493017,0,0.884511257875445,"Hispanic"
"2024_posthoc_comparative_evaluation","race_neutral_counselling_logistic",0.28,0.388888888888889,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",20270,6315,5,20,0.669453839408744,0.669349450916531,0,0.878627209206741,"Hispanic"
"2024_posthoc_comparative_evaluation","race_neutral_counselling_logistic",0.29,0.408450704225352,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",20269,6314,6,21,0.664789261688129,0.66469240092944,0,0.872505166634827,"Hispanic"
