feature_number,preprint_feature,preprint_domain,preprint_notes,source_status
1,Maternal age,Demographic,Feature/concept explicitly identifiable in Anand 2025 text.,Explicitly identifiable from published preprint text
2,Maternal race/ethnicity,Demographic,Feature/concept explicitly identifiable in Anand 2025 text.,Explicitly identifiable from published preprint text
3,Paternal race,Demographic,Feature/concept explicitly identifiable in Anand 2025 text.,Explicitly identifiable from published preprint text
4,Maternal education,Demographic / socioeconomic,Feature/concept explicitly identifiable in Anand 2025 text.,Explicitly identifiable from published preprint text
5,Marital status,Demographic / socioeconomic,Feature/concept explicitly identifiable in Anand 2025 text.,Explicitly identifiable from published preprint text
6,State,Geographic,Feature/concept explicitly identifiable in Anand 2025 text.,Explicitly identifiable from published preprint text
7,Urbanization level,Geographic,Feature/concept explicitly identifiable in Anand 2025 text.,Explicitly identifiable from published preprint text
8,U.S. Census region,Geographic,Feature/concept explicitly identifiable in Anand 2025 text.,Explicitly identifiable from published preprint text
9,Prepregnancy BMI,Clinical,Feature/concept explicitly identifiable in Anand 2025 text.,Explicitly identifiable from published preprint text
10,Tobacco use,Clinical,Feature/concept explicitly identifiable in Anand 2025 text.,Explicitly identifiable from published preprint text
11,Prepregnancy diabetes,Clinical,Feature/concept explicitly identifiable in Anand 2025 text.,Explicitly identifiable from published preprint text
12,Gestational diabetes,Clinical,Feature/concept explicitly identifiable in Anand 2025 text.,Explicitly identifiable from published preprint text
13,Chronic/prepregnancy hypertension,Clinical,Feature/concept explicitly identifiable in Anand 2025 text.,Explicitly identifiable from published preprint text
14,Gestational hypertension,Clinical,Feature/concept explicitly identifiable in Anand 2025 text.,Explicitly identifiable from published preprint text
15,Eclampsia,Clinical,Feature/concept explicitly identifiable in Anand 2025 text.,Explicitly identifiable from published preprint text
16,Anemia,Clinical,Feature/concept explicitly identifiable in Anand 2025 text.,Explicitly identifiable from published preprint text
17,Prior live births / parity,Obstetric history,Feature/concept explicitly identifiable in Anand 2025 text.,Explicitly identifiable from published preprint text
18,Number of previous cesareans,Obstetric history,Feature/concept explicitly identifiable in Anand 2025 text.,Explicitly identifiable from published preprint text
19,Prior preterm birth,Obstetric history,Feature/concept explicitly identifiable in Anand 2025 text.,Explicitly identifiable from published preprint text
20,Interpregnancy / interval since last live birth,Obstetric history,Feature/concept explicitly identifiable in Anand 2025 text.,Explicitly identifiable from published preprint text
21,Gestational age,Current pregnancy,Feature/concept explicitly identifiable in Anand 2025 text.,Explicitly identifiable from published preprint text
22,Prenatal care utilization / visits,Prenatal care,Feature/concept explicitly identifiable in Anand 2025 text.,Explicitly identifiable from published preprint text
23,Prepregnancy / pregnancy weight gain,Current pregnancy,Feature/concept explicitly identifiable in Anand 2025 text.,Explicitly identifiable from published preprint text
24,Insurance / payment source,Health system / socioeconomic,Feature/concept explicitly identifiable in Anand 2025 text.,Explicitly identifiable from published preprint text
25,Place / setting of delivery,Health system,Feature/concept explicitly identifiable in Anand 2025 text.,Explicitly identifiable from published preprint text
26,Birth weight,Delivery-associated / not counselling-time,Feature/concept explicitly identifiable in Anand 2025 text.,Explicitly identifiable from published preprint text
27,Infertility treatment,Clinical / obstetric,Feature/concept explicitly identifiable in Anand 2025 text.,Explicitly identifiable from published preprint text
28,NOT INDIVIDUALLY ENUMERATED IN PREPRINT TEXT,,"Replace using author code, supplement, or exact source list. Do not infer this predictor.",Unresolved: paper states 47 predictors but does not name all 47
29,NOT INDIVIDUALLY ENUMERATED IN PREPRINT TEXT,,"Replace using author code, supplement, or exact source list. Do not infer this predictor.",Unresolved: paper states 47 predictors but does not name all 47
30,NOT INDIVIDUALLY ENUMERATED IN PREPRINT TEXT,,"Replace using author code, supplement, or exact source list. Do not infer this predictor.",Unresolved: paper states 47 predictors but does not name all 47
31,NOT INDIVIDUALLY ENUMERATED IN PREPRINT TEXT,,"Replace using author code, supplement, or exact source list. Do not infer this predictor.",Unresolved: paper states 47 predictors but does not name all 47
32,NOT INDIVIDUALLY ENUMERATED IN PREPRINT TEXT,,"Replace using author code, supplement, or exact source list. Do not infer this predictor.",Unresolved: paper states 47 predictors but does not name all 47
33,NOT INDIVIDUALLY ENUMERATED IN PREPRINT TEXT,,"Replace using author code, supplement, or exact source list. Do not infer this predictor.",Unresolved: paper states 47 predictors but does not name all 47
34,NOT INDIVIDUALLY ENUMERATED IN PREPRINT TEXT,,"Replace using author code, supplement, or exact source list. Do not infer this predictor.",Unresolved: paper states 47 predictors but does not name all 47
35,NOT INDIVIDUALLY ENUMERATED IN PREPRINT TEXT,,"Replace using author code, supplement, or exact source list. Do not infer this predictor.",Unresolved: paper states 47 predictors but does not name all 47
36,NOT INDIVIDUALLY ENUMERATED IN PREPRINT TEXT,,"Replace using author code, supplement, or exact source list. Do not infer this predictor.",Unresolved: paper states 47 predictors but does not name all 47
37,NOT INDIVIDUALLY ENUMERATED IN PREPRINT TEXT,,"Replace using author code, supplement, or exact source list. Do not infer this predictor.",Unresolved: paper states 47 predictors but does not name all 47
38,NOT INDIVIDUALLY ENUMERATED IN PREPRINT TEXT,,"Replace using author code, supplement, or exact source list. Do not infer this predictor.",Unresolved: paper states 47 predictors but does not name all 47
39,NOT INDIVIDUALLY ENUMERATED IN PREPRINT TEXT,,"Replace using author code, supplement, or exact source list. Do not infer this predictor.",Unresolved: paper states 47 predictors but does not name all 47
40,NOT INDIVIDUALLY ENUMERATED IN PREPRINT TEXT,,"Replace using author code, supplement, or exact source list. Do not infer this predictor.",Unresolved: paper states 47 predictors but does not name all 47
41,NOT INDIVIDUALLY ENUMERATED IN PREPRINT TEXT,,"Replace using author code, supplement, or exact source list. Do not infer this predictor.",Unresolved: paper states 47 predictors but does not name all 47
42,NOT INDIVIDUALLY ENUMERATED IN PREPRINT TEXT,,"Replace using author code, supplement, or exact source list. Do not infer this predictor.",Unresolved: paper states 47 predictors but does not name all 47
43,NOT INDIVIDUALLY ENUMERATED IN PREPRINT TEXT,,"Replace using author code, supplement, or exact source list. Do not infer this predictor.",Unresolved: paper states 47 predictors but does not name all 47
44,NOT INDIVIDUALLY ENUMERATED IN PREPRINT TEXT,,"Replace using author code, supplement, or exact source list. Do not infer this predictor.",Unresolved: paper states 47 predictors but does not name all 47
45,NOT INDIVIDUALLY ENUMERATED IN PREPRINT TEXT,,"Replace using author code, supplement, or exact source list. Do not infer this predictor.",Unresolved: paper states 47 predictors but does not name all 47
46,NOT INDIVIDUALLY ENUMERATED IN PREPRINT TEXT,,"Replace using author code, supplement, or exact source list. Do not infer this predictor.",Unresolved: paper states 47 predictors but does not name all 47
47,NOT INDIVIDUALLY ENUMERATED IN PREPRINT TEXT,,"Replace using author code, supplement, or exact source list. Do not infer this predictor.",Unresolved: paper states 47 predictors but does not name all 47
