model,term,estimate,std_error,lower_95,upper_95,estimate_95CI,odds_ratio,odds_ratio_lower_95,odds_ratio_upper_95,OR_95CI,z,p_value
race_neutral_counselling_logistic,(Intercept),-4.87095696491866,0.245725651687,-5.35257039230281,-4.3893435375345,-4.870957 (-5.352570 to -4.389344),0.0076660256589507,0.0047359620605183,0.0124088725063097,0.0077 (0.0047 to 0.0124),-19.8227451284702,0.0
race_neutral_counselling_logistic,maternal_age,-0.0288018137296647,0.0006961554584605,-0.0301662533558884,-0.027437374103441,-0.028802 (-0.030166 to -0.027437),0.97160900495145,0.970284207132749,0.972935611610537,0.9716 (0.9703 to 0.9729),-41.3726752834125,0.0
race_neutral_counselling_logistic,maternal_height_cm,0.0440847960297261,0.0015158570080559,0.0411137708882237,0.0470558211712284,0.044085 (0.041114 to 0.047056),1.04507096900028,1.04197064472795,1.0481805181108,1.0451 (1.0420 to 1.0482),29.0824238667887,0.0
race_neutral_counselling_logistic,prepregnancy_weight_kg,-0.0196725113028914,0.0015970916961341,-0.0228027535073223,-0.0165422690984605,-0.019673 (-0.022803 to -0.016542),0.980519729861511,0.977455264382651,0.983593802888679,0.9805 (0.9775 to 0.9836),-12.3177093403653,0.0
race_neutral_counselling_logistic,prepregnancy_bmi,0.0080353596149383,0.0042273475404239,-0.0002500893144265,0.0163208085443033,0.008035 (-0.000250 to 0.016321),1.00806772976084,0.999749941955299,1.0164547204651,1.0081 (0.9997 to 1.0165),1.90080411844552,0.0573276744408291
race_neutral_counselling_logistic,total_prior_live_births,0.603037589873341,0.0042538131021524,0.594700269396157,0.611374910350524,0.603038 (0.594700 to 0.611375),1.82766206482627,1.81248760553203,1.84296356731472,1.8277 (1.8125 to 1.8430),141.764006878487,0.0
race_neutral_counselling_logistic,previous_preterm_birth_binary,0.164615819299892,0.0140379583698181,0.137101926478576,0.192129712121208,0.164616 (0.137102 to 0.192130),1.17894010566235,1.14694504663251,1.21182769551162,1.1789 (1.1469 to 1.2118),11.7264786632948,0.0
race_neutral_counselling_logistic,prepregnancy_diabetes_binary,-0.552519507874046,0.0331375987616204,-0.617468007980961,-0.487571007767131,-0.552520 (-0.617468 to -0.487571),0.57549801046895,0.539308234450121,0.614116267650558,0.5755 (0.5393 to 0.6141),-16.6734926042369,0.0
race_neutral_counselling_logistic,prepregnancy_hypertension_binary,-0.449847351377709,0.0238196643315565,-0.496533035591393,-0.403161667164024,-0.449847 (-0.496533 to -0.403162),0.637725492109909,0.608637129340247,0.668204063934902,0.6377 (0.6086 to 0.6682),-18.8855453677299,0.0
race_neutral_counselling_logistic,gestational_diabetes_binary,-0.0457293519813914,0.0129736953978556,-0.0711573277075813,-0.0203013762552015,-0.045729 (-0.071157 to -0.020301),0.955300477387204,0.931315358890576,0.979903309211339,0.9553 (0.9313 to 0.9799),-3.52477459806479,0.0004238432705188
race_neutral_counselling_logistic,gestational_hypertension_binary,-0.369737454522328,0.0145358305795524,-0.398227158943627,-0.341247750101029,-0.369737 (-0.398227 to -0.341248),0.690915703620423,0.671509470953298,0.7108827651107,0.6909 (0.6715 to 0.7109),-25.4362798533466,0.0
race_inclusive_counselling_logistic,(Intercept),-4.76602602726289,0.248193168826145,-5.25247569937101,-4.27957635515478,-4.766026 (-5.252476 to -4.279576),0.0085141480113298,0.005234543189168,0.0138485277012976,0.0085 (0.0052 to 0.0138),-19.2028896274797,0.0
race_inclusive_counselling_logistic,maternal_age,-0.0327431266046706,0.0007124207114561,-0.0341394455409652,-0.0313468076683761,-0.032743 (-0.034139 to -0.031347),0.967787126427683,0.966436729948244,0.969139409808349,0.9678 (0.9664 to 0.9691),-45.9603799807332,0.0
race_inclusive_counselling_logistic,maternal_height_cm,0.0439873741049661,0.0015335499421223,0.0409816714499128,0.0469930767600194,0.043987 (0.040982 to 0.046993),1.04496916113421,1.04183301008198,1.04811475270458,1.0450 (1.0418 to 1.0481),28.6833658929227,0.0
race_inclusive_counselling_logistic,prepregnancy_weight_kg,-0.018260613758269,0.0016038005622127,-0.0214040050985911,-0.0151172224179469,-0.018261 (-0.021404 to -0.015117),0.981905101031494,0.978823435018494,0.984996469167548,0.9819 (0.9788 to 0.9850),-11.3858382323268,0.0
race_inclusive_counselling_logistic,prepregnancy_bmi,0.0075596824162283,0.004248353991595,-0.0007669384008749,0.0158863032333317,0.007560 (-0.000767 to 0.015886),1.00758832895609,0.99923335562121,1.01601316142752,1.0076 (0.9992 to 1.0160),1.77943797319725,0.0751679855223217
race_inclusive_counselling_logistic,total_prior_live_births,0.617706548313064,0.0043082688606365,0.609262496510501,0.626150600115627,0.617707 (0.609262 to 0.626151),1.85466956536452,1.83907457459564,1.87039679858862,1.8547 (1.8391 to 1.8704),143.376973047545,0.0
race_inclusive_counselling_logistic,previous_preterm_birth_binary,0.18387746959881,0.014101149372948,0.156239724687213,0.211515214510408,0.183877 (0.156240 to 0.211515),1.20186854863824,1.1691064331735,1.23554876375522,1.2019 (1.1691 to 1.2355),13.039892333285,0.0
race_inclusive_counselling_logistic,prepregnancy_diabetes_binary,-0.554554978810802,0.0333049229913659,-0.619831428381759,-0.489278529239845,-0.554555 (-0.619831 to -0.489279),0.574327792370976,0.538035127402693,0.613068545695234,0.5743 (0.5380 to 0.6131),-16.6508410469698,0.0
race_inclusive_counselling_logistic,prepregnancy_hypertension_binary,-0.374617165942933,0.0239511117245866,-0.421560482312818,-0.327673849573048,-0.374617 (-0.421560 to -0.327674),0.687552446905595,0.656022309447095,0.720598004729888,0.6876 (0.6560 to 0.7206),-15.6409092926729,0.0
